timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1703493780000,2023-12-25T08:43:00Z,288-1-1-111,still,
1703493840000,2023-12-25T08:44:00Z,288-1-1-111,still,
1703493900000,2023-12-25T08:45:00Z,288-1-1-111,still,
1703493960000,2023-12-25T08:46:00Z,288-1-1-111,still,
1703494020000,2023-12-25T08:47:00Z,288-1-1-111,generic,
1703494080000,2023-12-25T08:48:00Z,288-1-1-111,generic,
1703494140000,2023-12-25T08:49:00Z,288-1-1-111,generic,
1703494200000,2023-12-25T08:50:00Z,288-1-1-111,generic,
1703494260000,2023-12-25T08:51:00Z,288-1-1-111,generic,
1703494320000,2023-12-25T08:52:00Z,288-1-1-111,still,
1703494380000,2023-12-25T08:53:00Z,288-1-1-111,still,
1703494440000,2023-12-25T08:54:00Z,288-1-1-111,generic,
1703494500000,2023-12-25T08:55:00Z,288-1-1-111,still,
1703494560000,2023-12-25T08:56:00Z,288-1-1-111,generic,
1703494620000,2023-12-25T08:57:00Z,288-1-1-111,generic,
1703494680000,2023-12-25T08:58:00Z,288-1-1-111,generic,
1703494740000,2023-12-25T08:59:00Z,288-1-1-111,still,
1703494800000,2023-12-25T09:00:00Z,288-1-1-111,generic,
1703494860000,2023-12-25T09:01:00Z,288-1-1-111,still,
1703494920000,2023-12-25T09:02:00Z,288-1-1-111,generic,
1703494980000,2023-12-25T09:03:00Z,288-1-1-111,still,
1703495040000,2023-12-25T09:04:00Z,288-1-1-111,still,
1703495100000,2023-12-25T09:05:00Z,288-1-1-111,still,
1703495160000,2023-12-25T09:06:00Z,288-1-1-111,generic,
1703495220000,2023-12-25T09:07:00Z,288-1-1-111,still,
1703495280000,2023-12-25T09:08:00Z,288-1-1-111,generic,
1703495340000,2023-12-25T09:09:00Z,288-1-1-111,generic,
1703495400000,2023-12-25T09:10:00Z,288-1-1-111,generic,
1703495460000,2023-12-25T09:11:00Z,288-1-1-111,still,
1703495520000,2023-12-25T09:12:00Z,288-1-1-111,generic,
1703495580000,2023-12-25T09:13:00Z,288-1-1-111,generic,
1703495640000,2023-12-25T09:14:00Z,288-1-1-111,generic,
1703495700000,2023-12-25T09:15:00Z,288-1-1-111,still,
1703495760000,2023-12-25T09:16:00Z,288-1-1-111,generic,
1703495820000,2023-12-25T09:17:00Z,288-1-1-111,generic,
1703495880000,2023-12-25T09:18:00Z,288-1-1-111,generic,
1703495940000,2023-12-25T09:19:00Z,288-1-1-111,generic,
1703496000000,2023-12-25T09:20:00Z,288-1-1-111,generic,
1703496060000,2023-12-25T09:21:00Z,288-1-1-111,generic,
1703496120000,2023-12-25T09:22:00Z,288-1-1-111,still,
1703496180000,2023-12-25T09:23:00Z,288-1-1-111,generic,
1703496240000,2023-12-25T09:24:00Z,288-1-1-111,generic,
1703496300000,2023-12-25T09:25:00Z,288-1-1-111,generic,
1703496360000,2023-12-25T09:26:00Z,288-1-1-111,generic,
1703496420000,2023-12-25T09:27:00Z,288-1-1-111,generic,
1703496480000,2023-12-25T09:28:00Z,288-1-1-111,still,
1703496540000,2023-12-25T09:29:00Z,288-1-1-111,still,
1703496600000,2023-12-25T09:30:00Z,288-1-1-111,still,
1703496660000,2023-12-25T09:31:00Z,288-1-1-111,generic,
1703496720000,2023-12-25T09:32:00Z,288-1-1-111,generic,
1703496780000,2023-12-25T09:33:00Z,288-1-1-111,generic,
1703496840000,2023-12-25T09:34:00Z,288-1-1-111,still,
